OBJECTID,COUNTRY,XCOORD,YCOORD
81,Cameroon,14.175133,12.412319
81,Cameroon,14.082982,13.085575
81,Cameroon,14.456562,13.083344
81,Cameroon,15.085419,12.000756
81,Cameroon,15.146731,10.539051
81,Cameroon,15.689456,9.997334
81,Cameroon,14.213601,10.009403
81,Cameroon,13.979147,9.644451
81,Cameroon,15.089325,8.653793
81,Cameroon,15.589017,7.773514
81,Cameroon,14.742695,6.259975
81,Cameroon,14.421593,6.082767
81,Cameroon,14.619091,5.890238
81,Cameroon,14.525349,5.285111
81,Cameroon,15.248092,3.7187
81,Cameroon,16.069416,2.907944
81,Cameroon,16.146376,1.694298
81,Cameroon,14.595405,2.206793
81,Cameroon,11.668216,2.318201
81,Cameroon,11.373105,2.293139
81,Cameroon,11.359361,2.171173
81,Cameroon,9.905412,2.197781
81,Cameroon,9.894839,3.272734
81,Cameroon,9.909091,3.250516
81,Cameroon,9.926875,3.248296
81,Cameroon,10.031455,3.327747
81,Cameroon,10.05747,3.376938
81,Cameroon,10.052706,3.399396
81,Cameroon,10.064202,3.406698
81,Cameroon,10.074656,3.419987
81,Cameroon,10.073901,3.49474
81,Cameroon,9.905974,3.261823
81,Cameroon,9.644348,3.544327
81,Cameroon,9.975432,3.631797
81,Cameroon,9.99673,3.645413
81,Cameroon,10.0539,3.762162
81,Cameroon,10.125365,3.804298
81,Cameroon,10.127436,3.826967
81,Cameroon,9.638675,3.585943
81,Cameroon,9.549695,3.817608
81,Cameroon,9.623416,3.716393
81,Cameroon,9.680409,3.671384
81,Cameroon,9.612645,3.86405
81,Cameroon,9.694516,3.694151
81,Cameroon,9.693473,3.850148
81,Cameroon,9.79286,3.748822
81,Cameroon,9.836184,3.811094
81,Cameroon,9.676278,3.912252
81,Cameroon,9.781912,3.913881
81,Cameroon,9.774786,3.961034
81,Cameroon,9.801697,3.947754
81,Cameroon,9.836822,3.939814
81,Cameroon,9.855161,3.949332
81,Cameroon,9.862739,3.959034
81,Cameroon,9.863858,3.963674
81,Cameroon,9.863459,3.991626
81,Cameroon,9.842613,4.035241
81,Cameroon,9.822002,4.04762
81,Cameroon,9.913654,4.091209
81,Cameroon,9.819603,4.048167
81,Cameroon,9.835976,3.941024
81,Cameroon,9.777613,3.964488
81,Cameroon,9.634373,3.9396
81,Cameroon,9.622328,3.965006
81,Cameroon,9.72846,3.987672
81,Cameroon,9.925989,4.419879
81,Cameroon,9.62497,4.01915
81,Cameroon,9.485408,4.121137
81,Cameroon,9.21221,3.950841
81,Cameroon,8.977107,4.096672
81,Cameroon,8.959453,4.601692
81,Cameroon,8.893284,4.504494
81,Cameroon,8.782815,4.783627
81,Cameroon,8.622006,4.615905
81,Cameroon,8.639611,4.539233
81,Cameroon,8.662354,4.534836
81,Cameroon,8.631347,4.503949
81,Cameroon,8.622006,4.615905
81,Cameroon,9.362582,3.952509
81,Cameroon,9.426602,4.008929
81,Cameroon,9.476311,3.910378
81,Cameroon,9.373521,3.895714
81,Cameroon,9.295162,3.973893
81,Cameroon,9.362582,3.952509
89,Cape Verde,-25.081235,17.195531
89,Cape Verde,-24.985931,17.054711
89,Cape Verde,-25.299387,16.906265
89,Cape Verde,-25.338649,17.092289
89,Cape Verde,-25.081235,17.195531
89,Cape Verde,-22.788353,16.23097
89,Cape Verde,-22.664947,16.084773
89,Cape Verde,-22.878285,15.973648
89,Cape Verde,-22.91952,16.227222
89,Cape Verde,-22.788353,16.23097
90,Cape Verde,-23.736295,15.335066
90,Cape Verde,-23.442199,15.041029
90,Cape Verde,-23.480751,14.905828
90,Cape Verde,-23.779342,15.062534
90,Cape Verde,-23.736295,15.335066
90,Cape Verde,-24.367153,15.050072
90,Cape Verde,-24.277322,14.883648
90,Cape Verde,-24.399594,14.813402
90,Cape Verde,-24.504632,14.921718
90,Cape Verde,-24.367153,15.050072
90,Cape Verde,-24.334353,16.675363
90,Cape Verde,-24.062037,16.61021
90,Cape Verde,-24.008246,16.565876
90,Cape Verde,-24.32598,16.480622
90,Cape Verde,-24.334353,16.675363
90,Cape Verde,-23.178357,15.334653
90,Cape Verde,-23.08838,15.196136
90,Cape Verde,-23.158082,15.116123
90,Cape Verde,-23.232828,15.163345
90,Cape Verde,-23.178357,15.334653
90,Cape Verde,-24.903868,16.908171
90,Cape Verde,-24.872644,16.80951
90,Cape Verde,-25.085531,16.826056
90,Cape Verde,-25.052023,16.883537
90,Cape Verde,-24.903868,16.908171
90,Cape Verde,-22.911985,16.850625
90,Cape Verde,-22.871768,16.66944
90,Cape Verde,-22.923133,16.585425
90,Cape Verde,-22.99428,16.796798
90,Cape Verde,-22.911985,16.850625
90,Cape Verde,-24.680452,14.898026
90,Cape Verde,-24.664387,14.843386
90,Cape Verde,-24.701675,14.801669
90,Cape Verde,-24.748465,14.867158
90,Cape Verde,-24.680452,14.898026
90,Cape Verde,-24.770939,16.803272
90,Cape Verde,-24.721962,16.753274
90,Cape Verde,-24.682858,16.749531
90,Cape Verde,-24.744443,16.735951
90,Cape Verde,-24.770939,16.803272
90,Cape Verde,-24.573941,16.625936
90,Cape Verde,-24.580208,16.607038
90,Cape Verde,-24.604348,16.617608
90,Cape Verde,-24.59925,16.626043
90,Cape Verde,-24.573941,16.625936
90,Cape Verde,-24.658501,16.65213
90,Cape Verde,-24.668894,16.650547
90,Cape Verde,-24.681823,16.670315
90,Cape Verde,-24.664562,16.660124
90,Cape Verde,-24.658501,16.65213
90,Cape Verde,-24.680151,14.976401
90,Cape Verde,-24.68312,14.964538
90,Cape Verde,-24.695742,14.960738
90,Cape Verde,-24.693478,14.973063
90,Cape Verde,-24.680151,14.976401
90,Cape Verde,-24.629315,14.978581
90,Cape Verde,-24.640269,14.963648
90,Cape Verde,-24.647076,14.965234
90,Cape Verde,-24.635727,14.984692
90,Cape Verde,-24.629315,14.978581
90,Cape Verde,-22.923509,16.164499
90,Cape Verde,-22.930807,16.165997
90,Cape Verde,-22.937414,16.176816
90,Cape Verde,-22.926171,16.171875
90,Cape Verde,-22.923509,16.164499
91,Cape Verde,-24.658292,14.972523
91,Cape Verde,-24.65549,14.968484
91,Cape Verde,-24.662991,14.967819
91,Cape Verde,-24.65766,14.969604
